filepath,species,freshness,species_idx,freshness_idx,combined_class
Rastrelliger Faughni - Not Fresh/IMG_20191018_055208.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191114_055734.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055235_12.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191112_061657_4.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Chanos Chanos - Fresh/IMG_20191003_064923.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_070441.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_075938_1.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Rastrelliger Faughni - Fresh/IMG_20191017_064614.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Rastrelliger Faughni - Fresh/IMG_20191112_062712_2.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191111_060620.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191111_054728.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191115_054437_1.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191114_062112_2.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191114_062127_6.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191110_073411.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Chanos Chanos - Highly Fresh/IMG_20190930_070446.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Chanos Chanos - Highly Fresh/IMG_20191111_052124.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191015_064024.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191110_055628_12.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191001_063912.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191114_055448.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Eleutheronema Tetradactylum - Highly Fresh/IMG_20191015_071357.jpg,Eleutheronema Tetradactylum,Highly Fresh,1,0,Eleutheronema Tetradactylum | Highly Fresh
Oreochromis Mossambicus - Fresh/IMG_20191112_055032_1.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Eleutheronema Tetradactylum - Highly Fresh/IMG_20191014_072129.jpg,Eleutheronema Tetradactylum,Highly Fresh,1,0,Eleutheronema Tetradactylum | Highly Fresh
Chanos Chanos - Fresh/IMG_20191002_063014.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Nibea Albiflora - Fresh/IMG_20191112_061657_3.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191111_061359_7.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191111_060421.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191114_055917_5.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Upeneus Moluccensis - Fresh/IMG_20191017_061914.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191110_075406_1.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191111_053343.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191018_054930.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Eleutheronema Tetradactylum - Fresh/IMG_20191017_072055.jpg,Eleutheronema Tetradactylum,Fresh,1,1,Eleutheronema Tetradactylum | Fresh
Nibea Albiflora - Fresh/IMG_20191113_060854.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Eleutheronema Tetradactylum - Highly Fresh/IMG_20191014_072614.jpg,Eleutheronema Tetradactylum,Highly Fresh,1,0,Eleutheronema Tetradactylum | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191113_060443.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055209.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191114_063810.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Rastrelliger Faughni - Fresh/IMG_20191113_055821.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Oreochromis Mossambicus - Fresh/IMG_20191113_054914.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191111_060846_1.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191014_070301.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Johnius Trachycephalus - Fresh/IMG_20191016_065943.jpg,Johnius Trachycephalus,Fresh,2,1,Johnius Trachycephalus | Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191110_074238_3.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Upeneus Moluccensis - Fresh/IMG_20191113_061529.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Oreochromis Mossambicus - Fresh/IMG_20191112_055123_1.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Chanos Chanos - Fresh/IMG_20191112_051805.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191018_054240.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_070827.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191015_064101.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191112_061239_1.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191111_054316_2.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_071510.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191111_054156_1.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Johnius Trachycephalus - Not Fresh/IMG_20191018_060304.jpg,Johnius Trachycephalus,Not Fresh,2,2,Johnius Trachycephalus | Not Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191111_055244.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191112_061343.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191004_065021.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Eleutheronema Tetradactylum - Fresh/IMG_20191017_071832.jpg,Eleutheronema Tetradactylum,Fresh,1,1,Eleutheronema Tetradactylum | Fresh
Chanos Chanos - Highly Fresh/IMG_20191110_081604.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Rastrelliger Faughni - Fresh/IMG_20191113_055933_2.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Oreochromis Niloticus - Fresh/IMG_20191113_053506_1.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191115_063249.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191110_055641_7.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Oreochromis Niloticus - Fresh/IMG_20191112_053959_1.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Eleutheronema Tetradactylum - Not Fresh/IMG_20191019_064624.jpg,Eleutheronema Tetradactylum,Not Fresh,1,2,Eleutheronema Tetradactylum | Not Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191111_062758_1.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Chanos Chanos - Not Fresh/IMG_20191004_063832.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
Oreochromis Niloticus - Fresh/IMG_20191112_053932_!.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Oreochromis Mossambicus - Fresh/IMG_20191112_054440.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191015_064949.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191015_065005.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191113_060334.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Johnius Trachycephalus - Highly Fresh/IMG_20191014_071020.jpg,Johnius Trachycephalus,Highly Fresh,2,0,Johnius Trachycephalus | Highly Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191111_054215_5.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191110_055628_5.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191110_055522_3.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191015_062505.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Nibea Albiflora - Not Fresh/IMG_20191115_061751.jpg,Nibea Albiflora,Not Fresh,3,2,Nibea Albiflora | Not Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055230_8.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191110_073030.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Chanos Chanos - Highly Fresh/IMG_20191111_052618.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Oreochromis Niloticus - Fresh/IMG_20191002_064612.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Johnius Trachycephalus - Not Fresh/IMG_20191019_062524.jpg,Johnius Trachycephalus,Not Fresh,2,2,Johnius Trachycephalus | Not Fresh
Oreochromis Mossambicus - Fresh/IMG_20191113_054741_1.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Chanos Chanos - Not Fresh/IMG_20191114_054041.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
Eleutheronema Tetradactylum - Not Fresh/IMG_20191018_062044.jpg,Eleutheronema Tetradactylum,Not Fresh,1,2,Eleutheronema Tetradactylum | Not Fresh
Oreochromis Mossambicus - Fresh/IMG_20191113_054819.jpg,Oreochromis Mossambicus,Fresh,4,1,Oreochromis Mossambicus | Fresh
Oreochromis Mossambicus - Not Fresh/IMG_20191114_060912_6.jpg,Oreochromis Mossambicus,Not Fresh,4,2,Oreochromis Mossambicus | Not Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191114_055130_1.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191018_054711.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191115_054621.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Nibea Albiflora - Highly Fresh/IMG_20191110_055955_3.jpg,Nibea Albiflora,Highly Fresh,3,0,Nibea Albiflora | Highly Fresh
Oreochromis Niloticus - Fresh/IMG_20191112_053357_2.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Oreochromis Niloticus - Fresh/IMG_20191112_053701.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191014_070047.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191115_061319.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Chanos Chanos - Fresh/IMG_20191002_062812.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191110_073933_6.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191018_054723.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Eleutheronema Tetradactylum - Highly Fresh/IMG_20191015_071822.jpg,Eleutheronema Tetradactylum,Highly Fresh,1,0,Eleutheronema Tetradactylum | Highly Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191111_053841.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191114_055637.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_071241.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191110_072355_4.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191014_064535.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_071357.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191115_063132_3.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Rastrelliger Faughni - Fresh/IMG_20191017_064755.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191001_064904.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191004_064211.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Johnius Trachycephalus - Not Fresh/IMG_20191019_062300.jpg,Johnius Trachycephalus,Not Fresh,2,2,Johnius Trachycephalus | Not Fresh
Oreochromis Niloticus - Fresh/IMG_20191113_054048_1.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Rastrelliger Faughni - Fresh/IMG_20191112_063807_1.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191014_065752.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Upeneus Moluccensis - Fresh/IMG_20191113_061625.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Upeneus Moluccensis - Fresh/IMG_20191112_060519_1.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Chanos Chanos - Fresh/IMG_20191112_052358.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Chanos Chanos - Fresh/IMG_20191113_052226.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Nibea Albiflora - Fresh/IMG_20191113_060846.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Chanos Chanos - Not Fresh/IMG_20191114_054257.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
Chanos Chanos - Fresh/IMG_20191003_064242.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055059_3.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Eleutheronema Tetradactylum - Not Fresh/IMG_20191019_063659.jpg,Eleutheronema Tetradactylum,Not Fresh,1,2,Eleutheronema Tetradactylum | Not Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191015_063615.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Upeneus Moluccensis - Not Fresh/IMG_20191115_063511.jpg,Upeneus Moluccensis,Not Fresh,7,2,Upeneus Moluccensis | Not Fresh
Nibea Albiflora - Not Fresh/IMG_20191115_062136.jpg,Nibea Albiflora,Not Fresh,3,2,Nibea Albiflora | Not Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191115_061323.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Chanos Chanos - Fresh/IMG_20191002_062826.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191111_055848_4.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Johnius Trachycephalus - Not Fresh/IMG_20191018_060218.jpg,Johnius Trachycephalus,Not Fresh,2,2,Johnius Trachycephalus | Not Fresh
Chanos Chanos - Highly Fresh/IMG_20190930_071004.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191018_055410.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191111_060928_1.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Oreochromis Niloticus - Fresh/IMG_20191003_063851.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191110_062015_4.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191005_071341.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Oreochromis Niloticus - Fresh/IMG_20191002_064202.jpg,Oreochromis Niloticus,Fresh,5,1,Oreochromis Niloticus | Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055223_3.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191015_063328.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191014_065840.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_055230_3.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191018_055552.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Upeneus Moluccensis - Fresh/IMG_20191112_055841_2.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Rastrelliger Faughni - Fresh/IMG_20191112_063528.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Oreochromis Mossambicus - Highly Fresh/IMG_20191110_05505_6.jpg,Oreochromis Mossambicus,Highly Fresh,4,0,Oreochromis Mossambicus | Highly Fresh
Rastrelliger Faughni - Fresh/IMG_20191112_063956.jpg,Rastrelliger Faughni,Fresh,6,1,Rastrelliger Faughni | Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191019_061352.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Rastrelliger Faughni - Highly Fresh/IMG_20191111_061809.jpg,Rastrelliger Faughni,Highly Fresh,6,0,Rastrelliger Faughni | Highly Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191019_060900.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Upeneus Moluccensis - Fresh/IMG_20191016_062848.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Johnius Trachycephalus - Highly Fresh/IMG_20191014_071541.jpg,Johnius Trachycephalus,Highly Fresh,2,0,Johnius Trachycephalus | Highly Fresh
Nibea Albiflora - Fresh/IMG_20191112_061437_2.jpg,Nibea Albiflora,Fresh,3,1,Nibea Albiflora | Fresh
Oreochromis Niloticus - Not Fresh/IMG_20191115_055002.jpg,Oreochromis Niloticus,Not Fresh,5,2,Oreochromis Niloticus | Not Fresh
Chanos Chanos - Fresh/IMG_20191003_064216.jpg,Chanos Chanos,Fresh,0,1,Chanos Chanos | Fresh
Rastrelliger Faughni - Not Fresh/IMG_20191115_061158_2.jpg,Rastrelliger Faughni,Not Fresh,6,2,Rastrelliger Faughni | Not Fresh
Chanos Chanos - Not Fresh/IMG_20191114_053626.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
Upeneus Moluccensis - Highly Fresh/IMG_20191110_073647.jpg,Upeneus Moluccensis,Highly Fresh,7,0,Upeneus Moluccensis | Highly Fresh
Chanos Chanos - Not Fresh/IMG_20191005_072306.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
Chanos Chanos - Highly Fresh/IMG_20191110_081644.jpg,Chanos Chanos,Highly Fresh,0,0,Chanos Chanos | Highly Fresh
Eleutheronema Tetradactylum - Not Fresh/IMG_20191018_062155.jpg,Eleutheronema Tetradactylum,Not Fresh,1,2,Eleutheronema Tetradactylum | Not Fresh
Oreochromis Niloticus - Highly Fresh/IMG_20191110_062015_7.jpg,Oreochromis Niloticus,Highly Fresh,5,0,Oreochromis Niloticus | Highly Fresh
Upeneus Moluccensis - Fresh/IMG_20191113_062006.jpg,Upeneus Moluccensis,Fresh,7,1,Upeneus Moluccensis | Fresh
Chanos Chanos - Not Fresh/IMG_20191004_063453.jpg,Chanos Chanos,Not Fresh,0,2,Chanos Chanos | Not Fresh
